SMILES,Molecule_id,Activity Value [nM],Molecules,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,Murcko_SMILES,Scaffold,Source
CP1(=O)OCC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,CHEMBL3629745,5.4,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5930>,532.068780238,6,0,5.726100000000005,78.9,0.4782608695652174,5,11,2,O=[PH]1OCC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccccc4)c4ccccc4OC[C@@H]23)CO1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FCEB0>,ChEMBL
O=c1cc(/C=C/c2cccc(F)c2)[nH]cc1O,CHEMBL4059796,18970.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C59A0>,231.06955678,2,2,2.39,53.09,0.0,2,4,2,O=c1cc[nH]c(/C=C/c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FCF20>,ChEMBL
Cn1cc(O)c(=O)cc1/C=C/c1cccc(F)c1,CHEMBL4077009,19440.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5A10>,245.085206844,3,1,2.4004000000000003,42.230000000000004,0.07142857142857142,2,4,2,O=c1cc[nH]c(/C=C/c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FCF90>,ChEMBL
CN(C)c1ccc(/C=C/c2cc(=O)c(O)c[nH]2)cc1,CHEMBL4092433,29220.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5A80>,256.121177752,3,2,2.3169000000000004,56.330000000000005,0.13333333333333333,2,4,3,O=c1cc[nH]c(/C=C/c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FD000>,ChEMBL
CCOc1ccc(/C=C/c2cc(=O)c(O)c[nH]2)cc1,CHEMBL4074429,23390.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5AF0>,257.10519334,3,2,2.6496000000000004,62.32,0.13333333333333333,2,4,4,O=c1cc[nH]c(/C=C/c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FD070>,ChEMBL
CCOc1ccc(/C=C/c2cc(=O)c(O)cn2C)cc1,CHEMBL4097746,8940.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5B60>,271.120843404,4,1,2.660000000000001,51.46,0.1875,2,4,4,O=c1cc[nH]c(/C=C/c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FD0E0>,ChEMBL
COc1ccccc1/C=C/c1cc(=O)c(O)c[nH]1,CHEMBL4070599,16500.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5BD0>,243.089543276,3,2,2.259499999999999,62.32,0.07142857142857142,2,4,3,O=c1cc[nH]c(/C=C/c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FD150>,ChEMBL
COc1ccccc1/C=C/c1cc(=O)c(O)cn1C,CHEMBL4086825,12480.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5C40>,257.10519334,4,1,2.2699,51.46,0.13333333333333333,2,4,3,O=c1cc[nH]c(/C=C/c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FD1C0>,ChEMBL
O=c1cc(/C=C/c2ccc(O)cc2)[nH]cc1O,CHEMBL4074006,10720.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5CB0>,229.073893212,3,3,1.9564999999999997,73.32,0.0,2,4,2,O=c1cc[nH]c(/C=C/c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FD230>,ChEMBL
Cn1cc(O)c(=O)cc1/C=C/c1ccc(O)cc1,CHEMBL4068105,15380.0,<rdkit.Chem.rdchem.Mol object at 0x00000260064C5D20>,243.089543276,4,2,1.9668999999999996,62.46000000000001,0.07142857142857142,2,4,2,O=c1cc[nH]c(/C=C/c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x00000260064FD2A0>,ChEMBL
