Molecule_id,Activity Value [nM],SMILES,Molecules,MW,HBA,HBD,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,Murcko_SMILES,Scaffold,Source
164611176,3780.0,CCN(CCCCOC1=CC(=C(C=C1)C(=O)/C=C/C2=CC=C(C=C2)N(C)C)O)CC3=CC=CC=C3,<rdkit.Chem.rdchem.Mol object at 0x0000026005F1F370>,472.272593012,5,1,6.035400000000007,53.010000000000005,0.3,3,5,13,O=C(/C=C/c1ccccc1)c1ccc(OCCCCNCc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E487B0>,PubChem
164611270,1680.0,CCN(CCCOC1=CC(=C(C=C1)C(=O)/C=C/C2=CC=C(C=C2)N(C)C)O)CC3=CC=CC=C3,<rdkit.Chem.rdchem.Mol object at 0x0000026005F1F3E0>,458.256942948,5,1,5.645300000000006,53.010000000000005,0.27586206896551724,3,5,12,O=C(/C=C/c1ccccc1)c1ccc(OCCCNCc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E48820>,PubChem
145954140,13400.0,CC1=NC2=NC=NN2C(=C1)N3CCN(CC3)C4=NC(=NC(=N4)NC5=CC=CC=C5F)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000026005F1F450>,440.138846476,10,1,2.4804199999999996,100.26,0.2631578947368421,5,12,4,c1ccc(Nc2ncnc(N3CCN(c4ccnc5ncnn45)CC3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E48890>,PubChem
3620709,17600.0,COC1=CC=C(C=C1)NC2=NC(=NC(=N2)Cl)NC3=CC=CC(=C3)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x0000026005F1F4C0>,395.076072376,6,2,5.039600000000002,71.96,0.11764705882352941,3,10,5,c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E48900>,PubChem
145958697,18310.0,CC1=NC2=NC=NN2C(=C1)N3CCN(CC3)C4=NC(=NC(=N4)NC5=CC=CC(=C5)C(F)(F)F)NC6=CC=C(C=C6)F,<rdkit.Chem.rdchem.Mol object at 0x0000026005F1F530>,565.2074026160001,11,2,4.589420000000003,112.29,0.23076923076923078,6,15,6,c1ccc(Nc2nc(Nc3ccccc3)nc(N3CCN(c4ccnc5ncnn45)CC3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E48970>,PubChem
45102601,10000.0,CCC1=C(N(C(=N1)OCC)CC2=C(C=C(C=C2)C3=CC=CC=C3C(=O)O)F)CNC(=O)[C@H](CC(C)C)S,<rdkit.Chem.rdchem.Mol object at 0x0000026005F1F5A0>,527.225405788,6,3,5.357500000000005,93.45000000000002,0.39285714285714285,3,9,12,c1ccc(-c2ccc(Cn3ccnc3)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E489E0>,PubChem
164628782,4600.0,CC1=C(C=C(C=C1)N2C=C(N=N2)C(=O)NC3=CC=C(C=C3)C(C(F)(F)F)(C(F)(F)F)O)C,<rdkit.Chem.rdchem.Mol object at 0x0000026005F1F610>,458.117745072,5,2,4.448640000000003,80.04,0.25,3,12,4,O=C(Nc1ccccc1)c1cn(-c2ccccc2)nn1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E48A50>,PubChem
155451975,113130.0,CN(C)S(=O)(=O)C1=C(C=C(C(=C1)C(=O)O)NCC2=CC=CO2)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000026005F1F680>,358.03902026,5,2,2.4936000000000007,99.85000000000001,0.21428571428571427,2,9,6,c1ccc(NCc2ccco2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E48AC0>,PubChem
46853797,55950.0,CNS(=O)(=O)C1=C(C=C(C(=C1)C(=O)OC)NCC2=CC=CO2)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000026005F1F6F0>,358.03902026,6,2,2.2398,97.64,0.21428571428571427,2,9,6,c1ccc(NCc2ccco2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E48B30>,PubChem
114907182,154420.0,C1=COC(=C1)CNC2=C(C=CC(=C2)Br)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000026005F1F760>,294.98440528,3,2,3.3524000000000003,62.47,0.08333333333333333,2,5,4,c1ccc(NCc2ccco2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E48BA0>,PubChem
155452038,136390.0,CNS(=O)(=O)C1=C(C=C(C(=C1)C(=O)O)NCC2CCCO2)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000026005F1F7D0>,348.05467032399997,5,3,1.5371999999999997,104.73,0.46153846153846156,2,9,6,c1ccc(NCC2CCCO2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E48C10>,PubChem
155452035,6560.0,CNS(=O)(=O)C1=C(C=C(C(=C1)C(=O)N(C)C)NCC2=CC=CO2)Cl,<rdkit.Chem.rdchem.Mol object at 0x0000026005F1F840>,371.070654736,5,2,2.1549999999999994,91.65,0.26666666666666666,2,9,6,c1ccc(NCc2ccco2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000026006E48C80>,PubChem
